year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2019,8,11,SD,0.407,"SAN DIEGO, SUNSET CLIFFS BOULEVARD",12500.0,125,1.0,37.22944444444445,-119.50944444444444
2019,8,11,SD,2.379,JCT RTE 5 LT LANES,99000.0,1188,1.2,32.76213888888889,-117.16425000000001
2019,8,11,SD,2.379,JCT RTE 5 LT LANES,130000.0,3640,2.8,32.76213888888889,-117.16425000000001
2019,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",215000.0,5805,2.7,32.76233333333333,-117.16377777777778
2019,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",221000.0,6188,2.8,32.76233333333333,-117.16377777777778
2019,8,11,SD,4.378,"SAN DIEGO, JCT. RTE. 805",210000.0,6720,3.2,32.77175,-117.13180555555554
2019,8,11,SD,5.638,JCT. RTE. 15,241000.0,7230,3.0,32.7785,-117.11233333333332
2019,8,11,SD,5.638,JCT. RTE. 15,219000.0,7665,3.5,32.7785,-117.11233333333332
2019,8,11,SD,8.336,COLLEGE AVENUE,200000.0,6336,3.17,32.779333333333334,-117.06638888888888
2019,8,11,SD,10.57,FLETCHER PARKWAY,198000.0,7326,3.7,32.77327777777778,-117.03008333333334
2019,8,11,SD,10.57,FLETCHER PARKWAY,187000.0,8228,4.4,32.77327777777778,-117.03008333333334
2019,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",151000.0,7097,4.7,32.80294444444444,-116.96261111111112
2019,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",118000.0,3422,2.9,32.80294444444444,-116.96261111111112
2019,8,11,SD,18.727,GREENFIELD DRIVE,99000.0,7297,7.37,32.81169444444444,-116.91744444444446
2019,8,11,SD,18.727,GREENFIELD DRIVE,88000.0,10410,11.83,32.81169444444444,-116.91744444444446
2019,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",24600.0,2952,12.0,32.82747222222223,-116.62544444444444
2019,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",25000.0,3400,13.6,32.82747222222223,-116.62544444444444
2019,8,11,SD,51.98,CAMERON ROAD,16900.0,2172,12.85,32.718805555555555,-116.47036111111112
2019,8,11,SD,65.904,JCT. RTE. 94 SOUTH,17100.0,2375,13.89,32.677305555555556,-116.29125
2019,8,11,SD,65.904,JCT. RTE. 94 SOUTH,17500.0,2296,13.12,32.677305555555556,-116.29125
2019,8,11,IMP,10.01,JCT. RTE. 98,15800.0,2196,13.9,32.72694444444445,-116.02572222222223
2019,8,11,IMP,10.01,JCT. RTE. 98,14200.0,1974,13.9,32.72694444444445,-116.02572222222223
2019,8,11,IMP,23.48,DUNAWAY ROAD,14300.0,1840,12.87,32.76911111111111,-115.80052777777777
2019,8,11,IMP,29.933,DREW ROAD,14300.0,2322,16.24,32.774138888888885,-115.69038888888889
2019,8,11,IMP,37.972,JCT. RTE. 86,33000.0,3531,10.7,32.77397222222222,-115.55222222222221
2019,8,11,IMP,37.972,JCT. RTE. 86,35000.0,3560,10.17,32.77397222222222,-115.55222222222221
2019,8,11,IMP,40.944,JCT. RTE. 111,32500.0,2964,9.12,32.773944444444446,-115.50122222222222
2019,8,11,IMP,40.944,JCT. RTE. 111,19700.0,4531,23.0,32.773944444444446,-115.50122222222222
2019,8,11,IMP,47.783,JCT RTE 7/ORCHARD ROAD,12800.0,2725,21.29,32.77344444444444,-115.38375
2019,8,11,IMP,53.497,JCT. RTE. 115 NORTH,12600.0,2444,19.4,32.77313888888889,-115.28563888888888
2019,8,11,IMP,53.497,JCT. RTE. 115 NORTH,10900.0,2537,23.28,32.77313888888889,-115.28563888888888
2019,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,13800.0,2541,18.41,32.71077777777778,-115.08919444444444
2019,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,15500.0,2816,18.17,32.71077777777778,-115.08919444444444
2019,8,11,IMP,96.544,4TH AVENUE,15500.0,3984,25.7,32.73191666666667,-114.62463888888888
